Ингредиент,Описание,Категория,Вода,Белки,Углеводы,Жиры всего,Калории,Кальций,Медь,Железо,Магний,Фосфор,Калий,Натрий,Цинк,Марганец,Витамин A (МЕ),Витамин A (RAE),Витамин B12,Витамин B6,Витамин C,Витамин E,Витамин K,Селен,Тиамин (B1),Холестерин,Клетчатка,Сахара всего,Мононенасыщенные жиры,Полиненасыщенные жиры,Насыщенные жиры,Альфа-каротин,Зола,Бета-каротин,Бета-криптоксантин,Холин,Лютеин и зеаксантин,Ликопин,Ниацин (B3),Пантотеновая кислота (B5),Ретинол (витамин A),Рибофлавин (B2)
BREADFRUIT,"BREADFRUIT,RAW",Овощи и фрукты.,70.65,1.07,27.12,0.23,103,17,0.084,0.54,25,30,490,2,0.12,0.06,0,0,0.0,0.1,29.0,0.1,0.5,0.6,0.11,0,4.900000095,11.0,0.034,0.066,0.048,0,0.93,0,0,10,22,0,0.9,0.457,0,0.03
TURKEY,"TURKEY,ALL CLASSES,MEAT&SKN&GIBLETS&NECK,RAW",Мясо,70.61,20.37,0.08,7.77,157,15,0.114,1.69,22,180,269,67,2.31,0.026,341,102,1.62,0.41,0.2,0.0,0.0,23.3,0.065,78,0.0,0.0,2.76,1.93,2.2,0,0.9,0,0,0,0,0,4.148,0.953,102,0.203
TURKEY,"TURKEY,ALL CLASSES,MEAT&SKN,RAW",Мясо,70.4,20.42,0.0,8.02,160,15,0.103,1.43,22,178,266,65,2.2,0.02,6,2,0.4,0.41,0.0,0.35,3.1,24.4,0.064,68,0.0,0.0,2.9,1.98,2.26,0,0.88,0,0,68,0,0,4.085,0.807,2,0.155
TURKEY,"TURKEY,ALL CLASSES,MEAT ONLY,RAW",Мясо,74.16,21.77,0.0,2.86,119,14,0.109,1.45,25,195,296,70,2.37,0.021,0,0,0.43,0.47,0.0,0.35,2.7,26.5,0.072,65,0.0,0.0,0.61,0.83,0.95,0,0.97,0,0,70,0,0,4.544,0.907,0,0.168
TURKEY,"TURKEY,ALL CLASSES,SKN ONLY,RAW",Мясо,49.55,12.71,0.0,36.91,387,18,0.076,1.35,8,82,102,36,1.27,0.012,38,11,0.24,0.07,0.0,0.0,0.0,12.4,0.019,91,0.0,0.0,15.73,8.45,9.63,0,0.4,0,0,0,0,0,1.484,0.253,11,0.081
TURKEY,"TURKEY,ALL CLASSES,GIBLETS,RAW",Мясо,73.18,19.36,2.09,4.2,129,8,0.313,6.84,19,220,316,87,2.39,0.157,7665,2302,28.39,0.43,3.8,0.0,0.0,142.0,0.076,282,0.0,0.0,0.91,1.03,1.26,0,1.16,0,0,0,0,0,6.327,3.952,2302,1.145
TURKEY,"TURKEY,ALL CLASSES,GIBLETS,CKD,SIMMRD,SOME GIBLET FAT",Мясо,65.26,20.89,0.8,11.86,199,6,0.269,7.71,18,231,270,64,3.12,0.159,35790,10737,33.25,0.581,13.7,0.08,0.6,57.9,0.027,289,0.0,0.0,4.954,1.293,3.923,0,1.18,0,0,157,0,3,6.998,2.447,10737,1.503
TURKEY,"TURKEY,GIZZARD,ALL CLASSES,RAW",Мясо,76.18,19.14,0.0,4.58,118,6,0.114,4.31,16,140,322,72,2.86,0.048,0,0,6.86,0.12,6.2,0.05,0.0,29.2,0.04,197,0.0,0.0,1.588,0.777,1.312,0,1.0,0,0,90,0,0,4.78,0.914,0,0.179
TURKEY,"TURKEY,GIZZARD,ALL CLASSES,CKD,SIMMRD",Мясо,72.97,21.72,0.38,3.87,129,7,0.126,4.95,17,154,332,67,3.37,0.054,0,0,8.08,0.106,6.3,0.05,0.0,33.4,0.013,203,0.0,0.0,1.21,0.503,1.163,0,1.06,0,0,82,0,0,4.27,0.525,0,0.207
TURKEY,"TURKEY,HEART,ALL CLASSES,RAW",Мясо,76.62,17.13,0.41,4.79,113,6,0.394,4.18,22,222,295,94,3.37,0.058,107,23,15.4,0.441,3.0,0.04,0.0,35.9,0.212,147,0.0,0.0,1.391,1.272,1.316,0,1.05,23,0,127,0,21,4.75,3.12,21,0.97
TURKEY,"TURKEY,HEART,ALL CLASSES,CKD,SIMMRD",Мясо,71.98,21.47,0.68,4.64,136,7,0.492,5.2,26,259,291,90,4.45,0.065,64,19,21.7,0.423,2.8,0.05,0.0,45.5,0.034,184,0.0,0.0,1.138,1.191,1.289,0,1.23,0,0,172,0,32,3.38,1.58,19,1.04
TURKEY,"TURKEY,LIVER,ALL CLASSES,RAW",Мясо,62.29,17.84,2.26,16.36,228,5,0.407,12.0,15,279,255,71,2.26,0.195,72382,21702,49.4,1.47,24.5,0.12,0.8,70.8,0.153,331,0.0,0.0,7.397,1.65,5.507,0,1.25,29,0,222,0,0,13.5,6.28,21700,2.59
TURKEY,"TURKEY,LIVER,ALL CLASSES,CKD,SIMMRD",Мясо,56.95,20.02,1.21,20.54,273,5,0.349,10.7,17,294,211,56,2.62,0.273,75333,22600,58.2,1.04,22.6,0.11,1.2,82.5,0.038,388,0.0,0.0,9.108,2.022,6.947,0,1.29,0,0,220,0,0,10.2,4.35,22600,2.76
TURKEY,"TURKEY,ALL CLASSES,NECK,MEAT ONLY,RAW",Мясо,72.88,20.14,0.0,5.42,135,34,0.143,2.0,19,186,302,93,5.08,0.026,0,0,0.41,0.37,0.0,0.0,0.0,28.6,0.089,79,0.0,0.0,1.23,1.63,1.82,0,1.05,0,0,0,0,0,3.169,1.055,0,0.234
TURKEY,"TURKEY,ALL CLASSES,NECK,MEAT ONLY,CKD,SIMMRD",Мясо,65.19,26.84,0.0,7.26,180,37,0.154,2.3,15,122,149,56,7.12,0.022,0,0,0.23,0.21,0.0,0.64,3.7,36.2,0.036,122,0.0,0.0,1.65,2.18,2.44,0,0.61,0,0,75,0,0,1.704,0.701,0,0.192
TURKEY,"TURKEY,ALL CLASSES,LT MEAT,MEAT&SKN,RAW",Мясо,69.83,21.64,0.0,7.36,159,13,0.075,1.21,24,184,271,59,1.57,0.018,6,2,0.42,0.48,0.0,0.0,0.0,22.4,0.056,65,0.0,0.0,2.81,1.73,2.0,0,0.9,0,0,0,0,0,5.137,0.615,2,0.115
TURKEY,"TURKEY,ALL CLASSES,DK MEAT,MEAT&SKN,RAW",Мясо,71.13,18.92,0.0,8.8,160,17,0.137,1.69,20,170,261,71,2.95,0.021,5,2,0.38,0.32,0.0,0.0,0.0,26.4,0.073,72,0.0,0.0,3.0,2.28,2.58,0,0.86,0,0,0,0,0,2.855,1.033,2,0.202
TURKEY,"TURKEY,ALL CLASSES,LT MEAT,RAW",Мясо,73.82,23.56,0.0,1.56,115,12,0.075,1.19,27,204,305,63,1.62,0.019,0,0,0.45,0.56,0.0,0.0,0.0,24.4,0.064,60,0.0,0.0,0.27,0.42,0.5,0,1.0,0,0,0,0,0,5.844,0.688,0,0.122
TURKEY,"TURKEY,ALL CLASSES,DK MEAT,RAW",Мясо,74.48,20.07,0.0,4.38,125,17,0.147,1.75,22,184,286,77,3.22,0.022,0,0,0.4,0.36,0.0,0.0,0.0,28.6,0.081,69,0.0,0.0,0.99,1.31,1.47,0,0.93,0,0,0,0,0,3.075,1.155,0,0.221
TURKEY,"TURKEY,ALL CLASSES,BACK,MEAT&SKN,RAW",Мясо,67.78,18.11,0.0,13.11,196,17,0.127,1.63,18,157,236,66,2.67,0.02,10,3,0.36,0.29,0.0,0.0,0.0,26.4,0.065,74,0.0,0.0,4.94,3.23,3.66,0,0.79,0,0,0,0,0,2.682,0.917,3,0.183
TURKEY,"TURKEY,ALL CLASSES,BREAST,MEAT&SKN,RAW",Мясо,70.05,21.89,0.0,7.02,157,13,0.074,1.2,24,186,275,59,1.57,0.018,6,2,0.42,0.48,0.0,0.0,0.0,22.4,0.058,65,0.0,0.0,2.66,1.66,1.91,0,0.91,0,0,0,0,0,5.2,0.621,2,0.115
TURKEY,"TURKEY,ALL CLASSES,LEG,MEAT&SKN,RAW",Мясо,72.69,19.54,0.0,6.72,144,17,0.142,1.72,21,177,273,74,3.09,0.022,3,1,0.39,0.34,0.0,0.0,0.0,26.4,0.077,71,0.0,0.0,2.06,1.83,2.06,0,0.89,0,0,0,0,0,2.947,1.09,1,0.211
TURKEY,"TURKEY,ALL CLASSES,WING,MEAT&SKN,RAW",Мясо,66.49,20.22,0.0,12.32,197,14,0.077,1.26,21,165,240,55,1.54,0.017,11,3,0.39,0.41,0.0,0.0,0.0,22.4,0.05,70,0.0,0.0,4.97,2.86,3.28,0,0.81,0,0,0,0,0,4.425,0.554,3,0.11
TURKEY,"TURKEY,FRYER-ROASTERS,MEAT&SKN&GIBLETS&NECK,RAW",Мясо,72.9,22.15,0.05,4.25,133,13,0.152,1.75,22,175,246,61,2.09,0.03,395,119,1.85,0.42,0.2,0.0,0.0,24.6,0.043,92,0.0,0.0,1.47,1.07,1.22,0,0.92,0,0,0,0,0,4.085,1.03,119,0.215
TURKEY,"TURKEY,FRYER-ROASTERS,MEAT&SKN,RAW",Мясо,72.74,22.37,0.0,4.25,134,13,0.139,1.42,22,173,243,58,1.97,0.021,4,1,0.42,0.43,0.0,0.0,0.0,24.8,0.041,81,0.0,0.0,1.52,1.06,1.21,0,0.9,0,0,0,0,0,4.039,0.865,1,0.151
TURKEY,"TURKEY,FRYER-ROASTERS,MEAT ONLY,RAW",Мясо,75.42,22.32,0.0,1.58,110,12,0.14,1.44,24,184,260,61,2.03,0.022,0,0,0.44,0.47,0.0,0.0,0.0,26.5,0.044,73,0.0,0.0,0.35,0.47,0.53,0,0.93,0,0,0,0,0,4.357,0.939,0,0.159
TURKEY,"TURKEY,FRYER-ROASTERS,SKN ONLY,RAW",Мясо,59.86,16.6,0.0,23.54,283,19,0.134,1.29,10,97,121,35,1.6,0.015,33,10,0.31,0.09,0.0,0.0,0.0,15.2,0.021,139,0.0,0.0,10.03,5.39,6.14,0,0.48,0,0,0,0,0,1.765,0.329,10,0.093
TURKEY,"TURKEY,FRYER-ROASTERS,LT MEAT,MEAT&SKN,RAW",Мясо,72.49,23.09,0.0,3.81,133,12,0.12,1.23,24,182,253,50,1.42,0.019,5,2,0.44,0.5,0.0,0.0,0.0,23.0,0.036,76,0.0,0.0,1.52,0.89,1.02,0,0.9,0,0,0,0,0,5.178,0.651,2,0.115
TURKEY,"TURKEY,FRYER-ROASTERS,DK MEAT,MEAT&SKN,RAW",Мясо,74.56,20.06,0.0,4.79,129,14,0.16,1.62,20,163,232,66,2.55,0.023,3,1,0.4,0.34,0.0,0.0,0.0,27.3,0.046,87,0.0,0.0,1.55,1.27,1.43,0,0.84,0,0,0,0,0,2.838,1.09,1,0.189
TURKEY,"TURKEY,FRYER-ROASTERS,LT MEAT,MEAT ONLY,RAW",Мясо,74.61,24.18,0.0,0.49,108,10,0.118,1.22,26,196,276,52,1.39,0.02,0,0,0.46,0.57,0.0,0.0,0.0,24.4,0.039,66,0.0,0.0,0.09,0.13,0.16,0,0.98,0,0,0,0,0,5.751,0.705,0,0.119
TURKEY,"TURKEY,FRYER-ROASTERS,DK MEAT,MEAT ONLY,RAW",Мясо,76.22,20.46,0.0,2.67,111,13,0.162,1.66,22,171,244,69,2.66,0.024,0,0,0.41,0.37,0.0,0.0,0.0,28.6,0.049,81,0.0,0.0,0.61,0.8,0.9,0,0.88,0,0,0,0,0,2.957,1.173,0,0.2
TURKEY,"TURKEY,FRYER-ROASTERS,BACK,MEAT&SKN,RAW",Мясо,72.47,19.89,0.0,7.27,151,19,0.137,1.4,19,155,204,60,1.92,0.018,6,2,0.39,0.32,0.0,0.0,0.0,26.4,0.042,86,0.0,0.0,2.5,1.88,2.12,0,0.76,0,0,0,0,0,3.257,1.032,2,0.161
TURKEY,"TURKEY,FRYER-ROASTERS,BACK,MEAT ONLY,RAW",Мясо,75.37,20.66,0.0,3.51,120,19,0.134,1.44,21,168,222,65,2.02,0.019,0,0,0.41,0.37,0.0,0.0,0.0,28.6,0.047,74,0.0,0.0,0.8,1.05,1.18,0,0.83,0,0,0,0,0,3.594,1.182,0,0.176
TURKEY,"TURKEY,FRYER-ROASTERS,BREAST,MEAT&SKN,RAW",Мясо,72.88,23.76,0.0,2.65,125,11,0.117,1.19,26,195,276,48,1.28,0.02,3,1,0.46,0.53,0.0,0.0,0.0,23.5,0.039,70,0.0,0.0,1.0,0.63,0.72,0,0.97,0,0,0,0,0,5.809,0.679,1,0.116
TURKEY,"TURKEY,FRYER-ROASTERS,BREAST,MEAT ONLY,RAW",Мясо,74.12,24.6,0.0,0.65,111,10,0.116,1.17,28,206,293,49,1.24,0.021,0,0,0.47,0.58,0.0,0.0,0.0,24.4,0.041,62,0.0,0.0,0.11,0.17,0.21,0,1.02,0,0,0,0,0,6.255,0.717,0,0.118
TURKEY,"TURKEY,FRYER-ROASTERS,LEG,MEAT&SKN,RAW",Мясо,75.61,20.13,0.0,3.57,118,11,0.167,1.74,21,168,246,69,2.9,0.026,2,1,0.4,0.35,0.0,0.0,0.0,27.8,0.048,87,0.0,0.0,1.08,0.97,1.1,0,0.88,0,0,0,0,0,2.621,1.12,1,0.203
TURKEY,"TURKEY,FRYER-ROASTERS,LEG,MEAT ONLY,RAW",Мясо,76.62,20.35,0.0,2.37,108,10,0.143,1.77,22,172,254,71,2.98,0.027,0,0,0.41,0.37,0.0,0.0,0.0,28.6,0.05,84,0.0,0.0,0.54,0.71,0.8,0,0.9,0,0,0,0,0,2.675,1.169,0,0.21
TURKEY,"TURKEY,FRYER-ROASTERS,WING,MEAT&SKN,RAW",Мясо,71.19,20.85,0.0,7.72,159,14,0.129,1.39,17,138,178,56,1.91,0.016,10,3,0.4,0.4,0.0,0.0,0.0,21.6,0.025,98,0.0,0.0,3.09,1.8,2.06,0,0.68,0,0,0,0,0,3.044,0.557,3,0.112
TURKEY,"TURKEY,FRYER-ROASTERS,WING,MEAT ONLY,RAW",Мясо,75.82,22.49,0.0,1.12,106,12,0.126,1.43,21,156,201,65,2.04,0.017,0,0,0.43,0.53,0.0,0.0,0.0,24.4,0.027,81,0.0,0.0,0.2,0.3,0.36,0,0.77,0,0,0,0,0,3.574,0.651,0,0.12
TURKEY,"TURKEY,YOUNG HEN,MEAT&SKN&GIBLETS&NECK,RAW",Мясо,69.74,20.15,0.11,8.78,166,16,0.119,1.89,22,178,267,63,2.23,0.029,400,120,1.7,0.4,0.2,0.0,0.0,23.2,0.061,73,0.0,0.0,3.13,2.18,2.49,0,0.9,0,0,0,0,0,3.956,0.958,120,0.208
TURKEY,"TURKEY,YOUNG HEN,MEAT&SKN,RAW",Мясо,69.5,20.18,0.0,9.09,168,15,0.109,1.6,22,175,263,61,2.14,0.022,4,1,0.4,0.41,0.0,0.0,0.0,24.2,0.06,63,0.0,0.0,3.3,2.25,2.56,0,0.88,0,0,0,0,0,3.849,0.804,1,0.158
TURKEY,"TURKEY,YOUNG HEN,MEAT ONLY,RAW",Мясо,73.77,21.76,0.0,3.18,122,15,0.115,1.62,25,193,293,66,2.3,0.023,0,0,0.43,0.47,0.0,0.0,0.0,26.5,0.068,60,0.0,0.0,0.68,0.92,1.05,0,0.97,0,0,0,0,0,4.307,0.909,0,0.172
TURKEY,"TURKEY,YOUNG HEN,SKN ONLY,RAW",Мясо,46.8,11.79,0.0,40.62,417,19,0.08,1.52,8,81,107,32,1.26,0.015,27,8,0.22,0.06,0.0,0.0,0.0,11.6,0.019,81,0.0,0.0,17.31,9.3,10.6,0,0.4,0,0,0,0,0,1.368,0.235,8,0.083
TURKEY,"TURKEY,YOUNG HEN,LT MEAT,MEAT&SKN,RAW",Мясо,69.13,21.51,0.0,8.1,165,13,0.081,1.41,24,180,267,55,1.54,0.021,5,2,0.42,0.48,0.0,0.0,0.0,22.3,0.053,62,0.0,0.0,3.1,1.91,2.19,0,0.9,0,0,0,0,0,4.938,0.616,2,0.123
TURKEY,"TURKEY,YOUNG HEN,DK MEAT,MEAT&SKN,RAW",Мясо,69.92,18.65,0.0,10.25,172,18,0.141,1.83,20,170,259,67,2.83,0.023,4,1,0.38,0.32,0.0,0.0,0.0,26.1,0.068,65,0.0,0.0,3.53,2.64,2.99,0,0.87,0,0,0,0,0,2.599,1.02,1,0.199
TURKEY,"TURKEY,YOUNG HEN,LT MEAT,MEAT ONLY,RAW",Мясо,73.57,23.64,0.0,1.66,116,12,0.082,1.38,27,199,299,60,1.59,0.022,0,0,0.45,0.56,0.0,0.0,0.0,24.4,0.06,58,0.0,0.0,0.29,0.44,0.53,0,1.0,0,0,0,0,0,5.631,0.69,0,0.131
TURKEY,"TURKEY,YOUNG HEN,DK MEAT,MEAT ONLY,RAW",Мясо,74.03,20.07,0.0,4.88,130,18,0.152,1.9,23,185,287,74,3.1,0.024,0,0,0.4,0.36,0.0,0.0,0.0,28.6,0.076,62,0.0,0.0,1.11,1.46,1.64,0,0.95,0,0,0,0,0,2.817,1.156,0,0.219
TURKEY,"TURKEY,YOUNG HEN,BACK,MEAT&SKN,RAW",Мясо,65.61,17.51,0.0,15.93,218,18,0.13,1.78,18,153,231,61,2.53,0.021,8,2,0.35,0.27,0.0,0.0,0.0,24.0,0.058,68,0.0,0.0,6.12,3.89,4.41,0,0.78,0,0,0,0,0,2.369,0.871,2,0.177
TURKEY,"TURKEY,YOUNG HEN,BREAST,MEAT&SKN,RAW",Мясо,69.0,21.62,0.0,8.3,167,13,0.082,1.41,24,179,266,55,1.54,0.021,5,2,0.41,0.48,0.0,0.0,0.0,21.8,0.053,62,0.0,0.0,3.19,1.95,2.25,0,0.89,0,0,0,0,0,4.904,0.612,2,0.123
TURKEY,"TURKEY,YOUNG HEN,LEG,MEAT&SKN,RAW",Мясо,72.04,19.46,0.0,7.5,151,18,0.147,1.87,22,178,273,70,2.96,0.023,2,1,0.39,0.34,0.0,0.0,0.0,27.3,0.072,63,0.0,0.0,2.29,2.04,2.29,0,0.91,0,0,0,0,0,2.711,1.089,1,0.209
TURKEY,"TURKEY,YOUNG HEN,WING,MEAT&SKN,RAW",Мясо,65.18,19.93,0.0,13.87,210,14,0.081,1.43,21,162,238,51,1.49,0.02,8,2,0.38,0.4,0.0,0.0,0.0,21.5,0.047,65,0.0,0.0,5.62,3.22,3.68,0,0.81,0,0,0,0,0,4.295,0.547,2,0.116
TURKEY,"TURKEY,YOUNG TOM,MEAT&SKN&GIBLETS&NECK,RAW",Мясо,71.14,20.39,0.08,7.21,152,15,0.106,1.5,22,182,274,70,2.39,0.022,289,87,1.55,0.41,0.2,0.0,0.0,23.3,0.071,81,0.0,0.0,2.55,1.79,2.05,0,0.89,0,0,0,0,0,4.334,0.943,87,0.193
TURKEY,"TURKEY,YOUNG TOM,MEAT&SKN,RAW",Мясо,70.96,20.45,0.0,7.43,154,15,0.095,1.28,22,180,271,68,2.28,0.017,7,2,0.4,0.41,0.0,0.0,0.0,24.5,0.07,72,0.0,0.0,2.68,1.84,2.1,0,0.88,0,0,0,0,0,4.295,0.805,2,0.152
TURKEY,"TURKEY,YOUNG TOM,MEAT ONLY,RAW",Мясо,74.38,21.72,0.0,2.7,117,14,0.1,1.3,24,198,302,73,2.46,0.019,0,0,0.43,0.47,0.0,0.0,0.0,26.5,0.079,68,0.0,0.0,0.57,0.78,0.89,0,0.97,0,0,0,0,0,4.768,0.902,0,0.165
TURKEY,"TURKEY,YOUNG TOM,SKN ONLY,RAW",Мясо,51.25,13.24,0.0,34.56,368,18,0.068,1.2,8,82,96,40,1.26,0.009,49,15,0.25,0.07,0.0,0.0,0.0,13.0,0.019,95,0.0,0.0,14.73,7.92,9.02,0,0.39,0,0,0,0,0,1.568,0.263,15,0.079
TURKEY,"TURKEY,YOUNG TOM,LT MEAT,MEAT&SKN,RAW",Мясо,70.2,21.63,0.0,7.04,156,13,0.065,1.04,24,188,277,63,1.6,0.016,8,2,0.42,0.47,0.0,0.0,0.0,22.4,0.061,67,0.0,0.0,2.68,1.66,1.91,0,0.9,0,0,0,0,0,5.302,0.612,2,0.108
TURKEY,"TURKEY,YOUNG TOM,DK MEAT,MEAT&SKN,RAW",Мясо,71.88,19.05,0.0,7.89,152,17,0.131,1.57,20,172,265,75,3.11,0.019,6,2,0.38,0.33,0.0,0.0,0.0,26.6,0.08,77,0.0,0.0,2.66,2.06,2.32,0,0.86,0,0,0,0,0,3.087,1.039,2,0.205
TURKEY,"TURKEY,YOUNG TOM,LT MEAT,MEAT ONLY,RAW",Мясо,73.96,23.43,0.0,1.57,114,12,0.064,1.01,27,209,314,67,1.67,0.017,0,0,0.45,0.55,0.0,0.0,0.0,24.4,0.07,62,0.0,0.0,0.28,0.42,0.5,0,1.0,0,0,0,0,0,6.036,0.684,0,0.114
TURKEY,"TURKEY,YOUNG TOM,DK MEAT,MEAT ONLY,RAW",Мясо,74.7,20.04,0.0,4.11,123,17,0.141,1.62,21,185,290,80,3.38,0.021,0,0,0.4,0.36,0.0,0.0,0.0,28.6,0.089,75,0.0,0.0,0.93,1.23,1.38,0,0.93,0,0,0,0,0,3.313,1.153,0,0.224
TURKEY,"TURKEY,YOUNG TOM,BACK,MEAT&SKN,RAW",Мясо,69.29,18.47,0.0,11.14,179,17,0.124,1.53,18,161,245,71,2.89,0.018,11,3,0.37,0.3,0.0,0.0,0.0,25.5,0.073,79,0.0,0.0,4.12,2.78,3.14,0,0.8,0,0,0,0,0,2.91,0.948,3,0.191
TURKEY,"TURKEY,YOUNG TOM,BREAST,MEAT&SKN,RAW",Мясо,70.68,21.96,0.0,6.34,151,13,0.065,1.04,24,191,282,63,1.61,0.016,7,2,0.42,0.48,0.0,0.0,0.0,22.0,0.063,67,0.0,0.0,2.36,1.5,1.73,0,0.91,0,0,0,0,0,5.391,0.623,2,0.109
TURKEY,"TURKEY,YOUNG TOM,LEG,MEAT&SKN,RAW",Мясо,72.98,19.54,0.0,6.34,141,17,0.136,1.59,20,177,275,77,3.22,0.02,4,1,0.39,0.34,0.0,0.0,0.0,27.6,0.084,76,0.0,0.0,1.94,1.72,1.94,0,0.89,0,0,0,0,0,3.185,1.088,1,0.213
TURKEY,"TURKEY,YOUNG TOM,WING,MEAT&SKN,RAW",Мясо,67.32,20.45,0.0,11.22,188,13,0.065,1.07,21,172,250,60,1.55,0.015,14,4,0.39,0.41,0.0,0.0,0.0,22.0,0.055,72,0.0,0.0,4.5,2.61,2.99,0,0.82,0,0,0,0,0,4.73,0.561,4,0.104
TURKEY,"TURKEY,CND,MEAT ONLY,W/BROTH",Мясо,66.07,23.68,0.0,6.86,163,12,0.074,1.86,20,162,224,467,2.37,0.017,0,0,0.28,0.33,2.0,0.27,0.7,25.9,0.014,66,0.0,0.0,2.26,1.75,2.0,0,1.92,0,0,74,0,0,6.622,0.686,0,0.171
TURKEY,"TURKEY,DICED,LT&DK MEAT,SEASONED",Мясо,71.7,18.7,1.0,6.0,138,1,0.063,1.8,17,240,310,850,2.02,0.013,0,0,0.24,0.28,0.0,0.0,0.0,26.1,0.04,55,0.0,0.0,1.98,1.53,1.75,0,2.6,0,0,0,0,0,4.8,0.589,0,0.11
TURKEY,"TURKEY,MECHANICALLY DEBONED,FROM TURKEY FRAMES,RAW",Мясо,69.09,13.29,0.0,15.96,201,145,0.093,1.61,13,115,173,48,2.9,0.015,0,0,0.26,0.21,0.0,0.0,0.0,26.5,0.048,95,0.0,0.0,5.02,4.51,5.31,0,1.1,0,0,0,0,0,1.969,0.673,0,0.134
TURKEY,"TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED",Мясо,76.3,8.0,11.5,2.5,101,10,0.134,2.2,16,74,243,796,1.2,0.0,0,0,0.28,0.1,1.9,0.09,0.0,24.6,0.13,21,0.600000024,0.0,1.03,0.33,0.85,0,1.66,0,0,59,0,0,1.55,0.165,0,0.08
TURKEY,"TURKEY,BREAST,SMOKED,LEMON PEPPER FLAVOR,97% FAT-FREE",Мясо,73.5,20.9,1.31,0.69,95,0,0.0,0.0,0,0,0,1160,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0.0,0.0,0.25,0.19,0.22,0,3.6,0,0,0,0,0,0.0,0.0,0,0.0
TURKEY,"TURKEY,PORK,&BF SAUSAGE,RED FAT,SMOKED",Мясо,59.2,18.6,2.6,16.8,240,18,0.061,1.12,17,142,204,957,2.18,0.0,2,1,0.44,0.27,0.0,0.25,0.0,27.8,0.18,65,0.0,0.0,7.01,2.26,6.07,0,2.8,0,0,72,0,0,3.29,0.0,1,0.15
TURKEY,"TURKEY,WING,SMOKED,CKD,W/SKN,BONE REMOVED",Мясо,59.5,27.4,0.0,12.41,229,24,0.056,1.46,25,197,266,996,2.1,0.0,0,0,0.34,0.42,0.0,0.17,2.4,26.0,0.05,81,0.0,0.0,4.651,2.934,3.383,0,0.7,0,0,69,0,0,5.73,0.0,0,0.13
TURKEY,"TURKEY,DRUMSTK,SMOKED,CKD,W/SKN,BONE REMOVED",Мясо,61.2,27.9,0.0,9.8,208,32,0.154,2.3,23,199,280,996,4.27,0.0,0,0,0.36,0.33,0.0,0.62,4.1,38.3,0.06,85,0.0,0.0,2.864,2.715,3.054,0,1.1,0,0,71,0,0,3.56,0.0,0,0.24
TURKEY,"TURKEY,LT OR DK MEAT,SMOKED,CKD,W/SKN,BONE REMOVED",Мясо,61.7,28.1,0.0,9.7,208,26,0.093,1.79,25,203,280,996,2.96,0.0,0,0,0.35,0.41,0.0,0.34,2.4,30.3,0.06,82,0.0,0.0,3.18,2.473,2.831,0,0.5,0,0,70,0,0,5.09,0.0,0,0.18
TURKEY,"TURKEY,LT OR DK MEAT,SMOKED,CKD,SKN & BONE REMOVED",Мясо,64.9,29.3,0.0,5.0,170,25,0.094,1.78,26,213,298,996,3.1,0.0,0,0,0.37,0.46,0.0,0.33,2.4,43.0,0.06,76,0.0,0.0,1.036,1.439,1.65,0,0.8,0,0,82,0,0,5.44,0.0,0,0.18
QUAKER OATS,"QUAKER OATS,PROPEL FITNESS H2O,FRUIT-FLAVORED,NON-CARBONATED",Крупы,98.78,0.0,1.22,0.0,5,1,0.0,0.03,0,0,16,13,0.0,0.0,0,0,0.01,0.556,8.8,1.67,0.0,0.0,0.0,0,0.0,1.220000029,0.0,0.0,0.0,0,0.0,0,0,0,0,0,4.095,1.57,0,0.0
APPLESAUCE,"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)",Фрукты,88.22,0.17,11.27,0.1,42,4,0.027,0.23,3,5,74,2,0.03,0.025,29,1,0.0,0.027,1.0,0.16,0.5,0.3,0.026,0,1.100000024,9.390000343,0.002,0.014,0.008,0,0.24,13,9,2,18,0,0.084,0.041,0,0.03
APPLESAUCE,"APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)",Фрукты,81.98,0.16,17.49,0.17,68,3,0.032,0.12,3,6,75,2,0.03,0.03,6,0,0.0,0.027,1.7,0.18,0.6,0.3,0.017,0,1.200000048,14.67000008,0.007,0.054,0.03,0,0.21,3,2,3,18,0,0.072,0.044,0,0.022
APPLESAUCE,"APPLESAUCE,CND,UNSWTND,W/ VIT C",Фрукты,88.22,0.17,11.27,0.1,42,4,0.027,0.23,3,5,74,2,0.03,0.025,29,1,0.0,0.027,21.2,0.16,0.5,0.3,0.026,0,1.100000024,9.390000343,0.002,0.014,0.008,0,0.24,0,0,2,0,0,0.084,0.041,0,0.03
APPLESAUCE,"APPLESAUCE,CND,SWTND,W/SALT",Фрукты,79.58,0.18,19.91,0.18,76,4,0.043,0.35,3,7,61,28,0.04,0.075,11,1,0.0,0.026,1.7,0.0,0.0,0.3,0.013,0,1.200000048,0.0,0.007,0.054,0.03,0,0.14,0,0,0,0,0,0.188,0.052,0,0.028
