Ингредиент,Описание,Категория,Вода,Белки,Углеводы,Жиры всего,Калории,Кальций,Медь,Железо,Магний,Фосфор,Калий,Натрий,Цинк,Марганец,Витамин A (МЕ),Витамин A (RAE),Витамин B12,Витамин B6,Витамин C,Витамин E,Витамин K,Селен,Тиамин (B1),Холестерин,Клетчатка,Сахара всего,Мононенасыщенные жиры,Полиненасыщенные жиры,Насыщенные жиры,Альфа-каротин,Зола,Бета-каротин,Бета-криптоксантин,Холин,Лютеин и зеаксантин,Ликопин,Ниацин (B3),Пантотеновая кислота (B5),Ретинол (витамин A),Рибофлавин (B2)
LAMB,"LAMB,DOM,LEG,SHANK HALF,LN&FAT,1/8""FAT,CHOIC,RAW",Мясо,68.73,18.99,0.0,11.5,185,7,0.117,1.73,25,182,267,58,3.58,0.022,0,0,2.54,0.16,0.0,0.0,0.0,21.9,0.13,67,0.0,0.0,4.7,0.93,4.88,0,1.0,0,0,0,0,0,6.21,0.69,0,0.24
LAMB,"LAMB,DOM,LEG,SIRLOIN HALF,LN&FAT,1/8""FAT,CHOIC,RAW",Мясо,61.32,17.21,0.0,20.8,261,10,0.114,1.63,23,161,235,56,3.13,0.019,0,0,2.5,0.14,0.0,0.0,0.0,19.9,0.13,71,0.0,0.0,8.54,1.64,9.12,0,0.9,0,0,0,0,0,6.34,0.7,0,0.23
LAMB,"LAMB,DOM,LOIN,LN&FAT,1/8""FAT,CHOIC,RAW",Мясо,59.55,17.18,0.0,22.75,279,14,0.11,1.66,22,159,226,59,2.65,0.019,0,0,2.07,0.14,0.0,0.0,0.0,19.4,0.12,72,0.0,0.0,9.34,1.79,9.95,0,0.88,0,0,0,0,0,6.48,0.64,0,0.21
LAMB,"LAMB,DOM,LOIN,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",Мясо,53.31,26.06,0.0,20.61,297,20,0.133,1.84,25,201,336,78,3.6,0.023,0,0,2.48,0.13,0.0,0.0,0.0,28.2,0.11,99,0.0,0.0,8.69,1.48,8.65,0,1.12,0,0,0,0,0,7.06,0.64,0,0.26
LAMB,"LAMB,DOM,RIB,LN&FAT,1/8""FAT,CHOIC,RAW",Мясо,53.68,15.32,0.0,30.71,342,14,0.092,1.43,19,143,201,58,2.87,0.017,0,0,2.14,0.12,0.0,0.0,0.0,17.7,0.1,74,0.0,0.0,12.6,2.42,13.43,0,0.78,0,0,0,0,0,6.06,0.62,0,0.19
LAMB,"LAMB,DOM,RIB,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",Мясо,49.03,23.06,0.0,26.82,340,18,0.124,1.93,24,184,277,77,4.21,0.021,0,0,2.56,0.11,0.0,0.0,0.0,24.7,0.09,98,0.0,0.0,10.97,2.17,11.36,0,1.19,0,0,0,0,0,6.92,0.61,0,0.23
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,CHOIC,RAW",Мясо,63.36,17.07,0.0,18.96,244,16,0.1,1.53,21,163,237,63,4.12,0.02,0,0,2.57,0.14,0.0,0.0,0.0,19.7,0.11,71,0.0,0.0,7.76,1.52,8.1,0,0.91,0,0,0,0,0,5.62,0.68,0,0.21
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",Мясо,45.46,29.46,0.0,23.57,338,27,0.126,2.39,25,193,261,74,6.8,0.026,0,0,2.78,0.11,0.0,0.0,0.0,33.8,0.07,117,0.0,0.0,9.72,1.88,9.71,0,1.44,0,0,0,0,0,6.15,0.61,0,0.22
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",Мясо,56.7,23.84,0.0,18.39,268,23,0.126,1.83,25,201,335,82,5.58,0.024,0,0,2.78,0.14,0.0,0.0,0.0,26.5,0.1,95,0.0,0.0,7.75,1.34,7.53,0,1.21,0,0,0,0,0,6.49,0.68,0,0.26
LAMB,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/8""FAT,CHOIC,RAW",Мясо,63.3,17.19,0.0,18.94,244,14,0.104,1.58,22,162,244,61,3.52,0.02,0,0,2.47,0.13,0.0,0.0,0.0,19.8,0.11,70,0.0,0.0,7.77,1.5,8.24,0,0.92,0,0,0,0,0,6.08,0.69,0,0.22
