Ингредиент,Описание,Категория,Вода,Белки,Углеводы,Жиры,Калории,Кальций,Медь,Железо,Магний,Фосфор,Калий,Натрий,Цинк,Марганец,Витамин A (МЕ),Витамин A (RAE),Витамин B12,Витамин B6,Витамин C,Витамин E,Витамин K,Селен,Тиамин (B1),Холестерин,Клетчатка,Сахара всего,Мононенасыщенные жиры,Полиненасыщенные жиры,Насыщенные жиры,Альфа-каротин,Зола,Бета-каротин,Бета-криптоксантин,Холин,Лютеин и зеаксантин,Ликопин,Ниацин (B3),Пантотеновая кислота (B5),Ретинол (витамин A),Рибофлавин (B2)
Курица,"Нога, Мясо&Кожа",Мясо,"69,91","18,15",0,"12,12",187,10,"0,058","1,01",21,149,198,79,"1,77","0,02",123,37,"0,32","0,29","2,5","0,44","2,9","13,1","0,067",83,0,0,"4,89","2,65","3,41",0,"0,85",0,0,57,0,0,"5,435","1,11",37,"0,164"
Курица,"Нога, Мясо",Мясо,"76,13","20,13",0,"3,81",120,11,"0,064","1,02",23,167,229,86,"2,06","0,021",61,18,"0,36","0,33",0,"0,32","2,9","13,5","0,079",80,0,0,"1,18","0,95","0,98",0,"0,94",0,0,62,0,0,"6,067","1,178",18,"0,193"
Курица,"Шея, Мясо&Кожа",Мясо,"59,99","14,07",0,"26,24",297,18,"0,08","1,9",13,112,137,64,"1,86","0,033",216,65,"0,26","0,17",0,"0,3",0,12,"0,047",99,0,0,"10,55","5,68","7,27",0,"0,55",0,0,0,0,0,"3,608","0,85",65,"0,191"
Курица,"Шея, Мясо",Мясо,"71,17","17,55",0,"8,78",154,27,"0,109","2,06",17,113,175,81,"2,68","0,035",146,44,"0,32","0,29",0,0,0,"13,5","0,054",83,0,0,"2,73","2,18","2,25",0,"0,69",0,0,0,0,0,"4,119","1,09",44,"0,228"
Курица,"Бедро, Мясо&Кожа",Мясо,"67,68","17,27",0,"15,25",211,10,"0,058","0,99",20,145,192,76,"1,6","0,019",149,44,"0,3","0,26","2,3","0,28","2,9","12,9","0,062",84,0,0,"6,511","3,381","4,386",0,"0,81",7,0,54,0,0,"5,426","1,032",41,"0,153"
Курица,"Бедро, Мясо",Мясо,"75,81","19,65",0,"3,91",119,10,"0,067","1,04",24,168,231,86,"1,91","0,02",65,20,"0,35","0,33",0,"0,31","2,9","13,5","0,076",83,0,0,"1,21","0,97",1,0,"0,96",0,0,62,0,0,"6,328","1,233",20,"0,188"
Курица,"Крыло, Мясо&Кожа",Мясо,"66,21","18,33",0,"15,97",222,12,"0,041","0,95",18,132,156,73,"1,33","0,018",147,44,"0,32","0,35","0,7","0,3",0,"15,5","0,048",77,0,0,"6,35","3,39","4,48",0,"0,69",0,0,56,0,0,"5,926","0,766",44,"0,088"
Курица,"Крыло, Мясо",Мясо,"74,95","21,97",0,"3,54",126,13,"0,041","0,88",22,155,194,81,"1,63","0,018",59,18,"0,38","0,53","1,2","0,13",0,"17,8","0,059",57,0,0,"0,85","0,8","0,94",0,"0,83",0,0,66,0,0,"7,359","0,836",18,"0,101"
Рис,"Коричневый, Длиннозёрный",Крупы,"10,37","7,94","77,24","2,92",370,23,"0,277","1,47",143,333,223,7,"2,02","3,743",0,0,0,"0,509",0,"1,2","1,9","23,4","0,401",0,"3,5","0,850000024","1,056","1,044","0,584",0,"1,53",0,0,31,0,0,"5,091","1,493",0,"0,093"
Рис,"Коричневый, Среднезёрный",Крупы,"12,37","7,5","76,17","2,68",362,33,"0,277","1,8",143,264,268,4,"2,02","3,743",0,0,0,"0,509",0,"0,68",0,0,"0,413",0,"3,400000095",0,"0,971","0,959","0,536",0,"1,27",0,0,0,0,0,"4,308","1,493",0,"0,043"
Рис,"Белый, Короткозёрный",Крупы,"13,29","6,5","79,15","0,52",358,3,"0,21","4,23",23,95,76,1,"1,1","1,037",0,0,0,"0,171",0,0,0,"15,1","0,565",0,"2,799999952",0,"0,161","0,138","0,14",0,"0,54",0,0,0,0,0,"4,113","1,287",0,"0,048"
Свинина,"Свежий, Спинной Жир",Мясо,"7,69","2,92",0,"88,69",812,2,"0,018","0,18",2,38,65,11,"0,37","0,002",15,5,"0,18","0,04","0,1",0,0,8,"0,084",57,0,0,"41,95","10,35","32,21",0,"0,7",0,0,15,0,0,"0,985","0,115",5,"0,051"
Свинина,"Стейк С Кожей Ноги, Без Костей, Нежирный И Жир",Мясо,"75,18","21,64",0,"3,39",123,7,"0,057","0,84",22,207,365,73,"3,18","0,009",0,0,"0,64","0,553",0,"0,08",0,"25,2","0,525",63,0,0,"1,688","0,509","1,187",0,"1,02",0,0,72,0,0,"7,092","0,802",0,"0,423"
Свинина,"Грудка Лопатки, Без Костей, Нежирная И Жир",Мясо,"74,37","22,54",0,"3,4",127,7,"0,076","0,89",26,229,378,54,"1,95","0,014",0,0,"0,87","0,722",0,"0,08",0,"25,8","0,645",60,0,0,"1,473","0,488","1,074",0,"1,07",0,0,89,0,0,"9,602","0,982",0,"0,465"
Свинина,"Малое Нежное Филе Лопатки, Без Костей, Нежирное И Жир",Мясо,"74,57","21,65",0,"3,91",128,6,"0,09","1,07",24,229,391,50,"2,16","0,011",0,0,"0,59","0,65",0,"0,08",0,"21,5","0,831",66,0,0,"1,324","0,469","1,012",0,"1,08",0,0,85,0,0,"5,312","0,982",0,"0,6"
Свинина,"Верхняя Часть Сирлоина Ноги, Без Костей, Нежирная И Жир",Мясо,"75,88","22,88",0,"1,71",113,5,"0,067","0,8",25,232,399,50,"2,05","0,009",0,0,"0,53","0,689",0,"0,08",0,"26,4","0,654",62,0,0,"0,687","0,323","0,524",0,"1,11",0,0,80,0,0,"7,183","0,9",0,"0,357"
Говядина,"Туша, Постная И Жирная, Отборная",Мясо,"58,21","17,48",0,"22,55",278,8,"0,069","1,85",17,156,271,59,"3,59","0,013",0,0,"2,69","0,33",0,0,0,"15,9","0,08",74,0,0,"9,82","0,86","9,16",0,"0,82",0,0,0,0,0,"3,54","0,32",0,"0,17"
Говядина,"Розничные Отрубы, Жир",Мясо,"20,21","8,21",0,"70,89",674,26,"0,028","0,72",5,61,96,26,"0,82",0,0,0,"0,73","0,108",0,0,"3,4","6,6","0,03",99,0,0,"30,94","2,56","29,45",0,"0,28",0,0,0,0,0,"1,437","0,163",0,"0,037"
Говядина,"Грудинка, Целая, Постная, Все Сорта",Мясо,"70,29","20,72",0,"7,37",155,5,"0,08","1,92",23,201,330,79,"4,31","0,014",0,0,"2,43","0,42",0,"0,32","1,3","16,4","0,1",62,0,0,"3,46","0,23","2,59",0,"1,02",0,0,86,0,0,"3,94","0,35",0,"0,17"
Говядина,"Мозг",Мясо,"76,29","10,86","1,05","10,3",143,43,"0,287","2,55",13,362,274,126,"1,02","0,026",147,7,"9,51","0,226","10,7","0,99",0,"21,3","0,092",3010,0,0,"1,89","1,586","2,3",0,"1,51",88,0,0,0,0,"3,55","2,01",0,"0,199"
Говядина,"Сердце",Мясо,"77,11","17,72","0,14","3,94",112,7,"0,396","4,31",21,212,287,98,"1,7","0,035",0,0,"8,55","0,279",2,"0,22",0,"21,8","0,238",124,0,0,"1,137","0,546","1,383",0,"1,1",0,0,0,0,17,"7,53","1,79",0,"0,906"
Говядина,"Почки",Мясо,"77,89","17,4","0,29","3,09",103,13,"0,426","4,6",17,257,262,182,"1,92","0,142",1397,419,"27,5","0,665","9,4","0,22",0,141,"0,357",411,0,0,"0,586","0,545","0,868",0,"1,33",0,0,0,0,20,"8,03","3,97",419,"2,84"
Говядина,"Печень",Мясо,"70,81","20,36","3,89","3,63",135,5,"9,755","4,9",18,387,313,69,4,"0,31",16898,4968,"59,3","1,083","1,3","0,38","3,1","39,7","0,189",275,0,0,"0,479","0,481","1,233",11,"1,31",232,13,333,0,0,"13,175","7,173",4948,"2,755"
Говядина,"Легкие",Мясо,"79,38","16,2",0,"2,5",92,10,"0,26","7,95",14,224,340,198,"1,61","0,019",46,14,"3,81","0,04","38,5",0,0,"44,3","0,047",242,0,0,"0,64","0,34","0,86",0,"0,98",0,0,0,0,0,4,1,14,"0,23"
Говядина,"Механически Отделенная Говядина",Мясо,"59,39","14,97",0,"23,52",276,485,"0,056","5,67",17,324,277,57,"3,58","0,012",0,0,"2,56","0,29",0,0,0,"20,7","0,072",209,0,0,"8,44","0,76","11,78",0,"2,14",0,0,0,0,0,"2,546","0,279",0,"0,118"
Говядина,"Поджелудочная Железа",Мясо,"65,2","15,7",0,"18,6",235,9,"0,06","2,22",18,327,276,67,"2,58","0,15",0,0,14,"0,2","13,7",0,0,"24,7","0,14",205,0,0,"6,44","3,47","6,41",0,"1,3",0,0,0,0,0,"4,45","3,9",0,"0,445"
Говядина,"Селезенка",Мясо,"77,2","18,3",0,3,105,9,"0,168","44,55",22,296,429,85,"2,11","0,073",0,0,"5,68","0,07","45,5",0,0,"62,2","0,05",263,0,0,"0,78","0,22",1,0,"1,38",0,0,0,0,0,"8,4","1,081",0,"0,37"
Говядина,"Говяжий Жир",Мясо,4,"1,5",0,94,854,2,"0,007","0,17",1,15,16,7,"0,22","0,001",0,0,"0,27","0,03",0,"1,5","3,6","0,2","0,007",68,0,0,"31,52","3,17","52,3",0,"0,1",0,0,6,0,0,"0,259","0,025",0,"0,013"
Говядина,"Тимус (Зобная Железа)",Мясо,"67,8","12,18",0,"20,35",236,7,"0,048","2,1",14,393,360,96,"2,06","0,12",0,0,"2,13","0,16",34,0,0,"18,1","0,109",223,0,0,"7,05","3,8","7,01",0,"1,38",0,0,0,0,0,"3,452","3,026",0,"0,345"
Говядина,"Язык",Мясо,"64,53","14,9","3,68","16,09",224,6,"0,17","2,95",16,133,315,69,"2,87","0,026",0,0,"3,79","0,31","3,1",0,0,"9,4","0,125",87,0,0,"7,24","0,9",7,0,"0,8",0,0,0,0,0,"4,24","0,653",0,"0,34"
Говядина,"Рубец (Желудок)",Мясо,"84,16","12,07",0,"3,69",85,69,"0,07","0,59",13,64,67,97,"1,42","0,085",0,0,"1,39","0,014",0,"0,09",0,"12,5",0,122,0,0,"1,533","0,18","1,291",0,"0,55",0,0,195,0,0,"0,881","0,227",0,"0,064"
Говядина,"Болонья, Красная, Без Искусственных Добавок",Мясо,"54,8","11,7",2,"28,4",313,12,"0,03","1,4",10,82,155,682,2,0,0,0,"1,41","0,18",0,"0,19","0,3","11,7","0,06",56,0,0,"13,299","1,051","11,676",0,"3,1",0,0,44,0,0,"2,63",0,0,"0,13"
Брокколи,Брокколи,Овощи и фрукты,"89,3","2,82","6,64","0,37",34,47,"0,049","0,73",21,66,316,33,"0,41","0,21",623,31,0,"0,175","89,2","0,78","101,6","2,5","0,071",0,"2,599999905","1,700000048","0,011","0,038","0,039",25,"0,87",361,1,19,1403,0,"0,639","0,573",0,"0,117"
Брокколи,Листья,Овощи и фрукты,"90,69","2,98","5,24","0,35",28,48,"0,045","0,88",25,66,325,27,"0,4","0,229",16000,800,0,"0,159","93,2",0,0,3,"0,065",0,0,0,"0,024","0,167","0,054",0,"0,92",0,0,0,0,0,"0,638","0,535",0,"0,119"
