Ингредиент,Описание,Категория,Вода,Белки,Углеводы,Жиры,Калории,Кальций,Медь,Железо,Магний,Фосфор,Калий,Натрий,Цинк,Марганец,Витамин A (МЕ),Витамин A (RAE),Витамин B12,Витамин B6,Витамин C,Витамин E,Витамин K,Селен,Тиамин (B1),Холестерин,Клетчатка,Сахара всего,Мононенасыщенные жиры,Полиненасыщенные жиры,Насыщенные жиры,Альфа-каротин,Зола,Бета-каротин,Бета-криптоксантин,Холин,Лютеин и зеаксантин,Ликопин,Ниацин (B3),Пантотеновая кислота (B5),Ретинол (витамин A),Рибофлавин (B2)
Пшеница,Пророщенная,Крупы,"47,75","7,49","42,53","1,27",198,28,"0,261","2,14",82,200,169,16,"1,65","1,858",0,0,0,"0,265","2,6",0,0,"42,5","0,225",0,"1,100000024",0,"0,151","0,557","0,206",0,"0,96",0,0,0,0,0,"3,087","0,947",0,"0,155"
Баранина,"Мозг",Мясо,"79,2","10,4",0,"8,58",122,9,"0,24","1,75",12,270,296,112,"1,17","0,044",0,0,"11,3","0,29",16,0,0,9,"0,13",1352,0,0,"1,55","0,88","2,19",0,"1,33",0,0,0,0,0,"3,9","0,92",0,"0,3"
Баранина,"Сердце",Мясо,"76,71","16,47","0,21","5,68",122,6,"0,397","4,6",17,175,316,89,"1,87","0,046",0,0,"10,25","0,39",5,0,0,32,"0,37",135,0,0,"1,6","0,55","2,25",0,"0,93",0,0,0,0,0,"6,14","2,63",0,"0,99"
Баранина,"Почки",Мясо,"79,23","15,74","0,82","2,95",97,13,"0,446","6,38",17,246,277,156,"2,24","0,118",316,95,"52,41","0,22",11,0,0,"126,9","0,62",337,0,0,"0,63","0,55",1,0,"1,26",0,0,0,0,0,"7,51","4,22",95,"2,24"
Баранина,"Печень",Мясо,"71,37","20,38","1,78","5,02",139,7,"6,979","7,37",19,364,313,70,"4,66","0,184",24612,7391,"90,05","0,9",4,0,0,"82,4","0,34",371,0,0,"1,05","0,75","1,94",0,"1,44",0,0,0,0,0,"16,11","6,13",7391,"3,63"
Баранина,"Легкие",Мясо,"79,7","16,7",0,"2,6",95,10,"0,254","6,4",14,219,238,157,"1,8","0,019",89,27,"3,93","0,11",31,0,0,"17,7","0,048",0,0,0,"0,67","0,35","0,89",0,"1,1",0,0,0,0,0,"4,124",0,27,"0,237"
Баранина,"Механически Отделенные",Мясо,"58,68","14,97",0,"23,54",276,162,"0,058","5,9",18,337,288,59,"3,72","0,012",0,0,"2,56","0,11",0,0,0,"20,1","0,072",213,0,0,"8,45","0,76","11,79",0,"1,21",0,0,0,0,0,"2,546",0,0,"0,118"
Баранина,"Поджелудочная Железа",Мясо,"73,77","14,84",0,"9,82",152,8,"0,061","2,3",21,400,420,75,"1,93","0,04",0,0,6,"0,07",18,0,0,"34,3","0,03",260,0,0,"3,54","0,48","4,44",0,"1,4",0,0,0,0,0,"3,7",1,0,"0,25"
Баранина,"Селезенка",Мясо,"78,15","17,2",0,"3,1",101,9,"0,121","41,89",21,280,358,84,"2,84","0,051",0,0,"5,34","0,11",23,0,0,"32,4","0,047",250,0,0,"0,81","0,23","1,03",0,"1,3",0,0,0,0,0,"7,895",0,0,"0,348"
Баранина,"Язык",Мясо,"66,6","15,7",0,"17,17",222,9,"0,212","2,65",21,184,257,78,"2,32","0,049",0,0,"7,2","0,18",6,0,0,15,"0,15",156,0,0,"8,46","1,06","6,63",0,"0,92",0,0,0,0,0,"4,65","0,97",0,"0,38"
